time (s)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)
	Vb = 8.7 V 	Vb = 9 V 	Vb = 9.2 V 	Vb = 9.5 V 
1.1E-4	1576209.16116017	1476176.80726839	1413835.25840911	1326260.94508045
1.11E-4	1574703.96739717	1474726.62573328	1412421.13840736	1324898.14245347
1.12E-4	1573213.04785403	1473290.26817693	1411020.51576235	1323548.35009276
1.13E-4	1571736.1431278	1471867.48172891	1409633.14305776	1322211.32918659
1.14E-4	1570273.00073912	1470458.02031571	1408258.77954368	1320886.84736935
1.15E-4	1568823.37488953	1469061.64442074	1406897.19090063	1319574.67849292
1.16E-4	1567387.02622928	1467678.12085481	1405548.14901389	1318274.60240797
1.17E-4	1565963.72163508	1466307.2225365	1404211.43175756	1316986.40475488
1.18E-4	1564553.23399734	1464948.72828199	1402886.82278797	1315709.87676354
1.19E-4	1563155.34201636	1463602.42260373	1401574.11134584	1314444.81506178
1.2E-4	1561769.83000707	1462268.09551771	1400273.09206685	1313191.02149189
1.21E-4	1560396.48771183	1460945.54235869	1398983.56480004	1311948.30293481
1.22E-4	1559035.110121	1459634.56360315	1397705.33443393	1310716.4711417
1.23E-4	1557685.49730079	1458334.9646995	1396438.21072963	1309495.34257244
1.24E-4	1556347.4542281	1457046.55590522	1395182.0081609	1308284.73824071
1.25E-4	1555020.790632	1455769.15213054	1393936.54576064	1307084.48356543
1.26E-4	1553705.32084152	1454502.57278851	1392701.64697358	1305894.40822816
1.27E-4	1552400.8636395	1453246.64165094	1391477.13951482	1304714.3460362
1.28E-4	1551107.24212209	1452001.18671005	1390262.85523401	1303544.13479112
1.29E-4	1549824.28356385	1450766.04004559	1389058.62998486	1302383.61616249
1.3E-4	1548551.81928794	1449541.0376971	1387864.30349973	1301232.63556653
1.31E-4	1547289.6845414	1448326.0195411	1386679.71926909	1300091.04204946
1.32E-4	1546037.71837507	1447120.82917297	1385504.72442558	1298958.68817535
1.33E-4	1544795.76352816	1445925.31379341	1384339.16963251	1297835.42991826
1.34E-4	1543563.66631708	1444739.32409907	1383182.90897662	1296721.12655844
1.35E-4	1542341.27652839	1443562.71417734	1382035.79986476	1295615.64058245
1.36E-4	1541128.44731583	1442395.34140506	1380897.70292458	1294518.83758707
1.37E-4	1539925.03510096	1441237.06635098	1379768.4819087	1293430.58618664
1.38E-4	1538730.89947756	1440087.75268172	1378648.00360262	1292350.75792394
1.39E-4	1537545.90311944	1438947.26707126	1377536.13773579	1291279.22718426
1.4E-4	1536369.9116915	1437815.47911363	1376432.75689602	1290215.87111264
1.41E-4	1535202.79376411	1436692.26123875	1375337.73644697	1289160.56953396
1.42E-4	1534044.42073037	1435577.48863128	1374250.9544485	1288113.20487611
