time (s)	Resistance (Ù)	Resistance (Ù)
	Device 1	Device 2
0.0279	15950	11370
0.02795	15950	11370
0.028	15960	11370
0.02805	15960	11360
0.0281	15970	11360
0.02815	15970	11360
0.0282	15970	11360
0.02825	15980	11350
0.0283	15980	11350
0.02835	15980	11350
0.0284	15990	11350
0.02845	15990	11350
0.0285	16000	11350
0.02855	16000	11340
0.0286	16000	11340
0.02865	16010	11340
0.0287	16010	11340
0.02875	16010	11340
0.0288	16020	11340
0.02885	16020	11340
0.0289	16020	11330
0.02895	16030	11330
0.029	16030	11330
0.02905	16030	11330
0.0291	16040	11330
0.02915	16040	11330
0.0292	16040	11330
0.02925	16050	11330
0.0293	16050	11330
0.02935	16050	11330
0.0294	16060	11330
0.02945	16060	11330
0.0295	16060	11330
0.02955	16070	11330
0.0296	16070	11330
0.02965	16070	11330
0.0297	16070	11330
0.02975	16080	11330
0.0298	16080	11330
0.02985	16080	11330
0.0299	16090	11330
0.02995	16090	11330
0.03	16090	11330
0.03005	16090	11330
0.0301	16100	11330
0.03015	16100	11330
0.0302	16100	11330
0.03025	16100	11330
0.0303	16110	11330
0.03035	16110	11330
0.0304	16110	11330
0.03045	16110	11330
0.0305	16120	11330
0.03055	16120	11330
0.0306	16120	11330
0.03065	16120	11330
0.0307	16130	11330
0.03075	16130	11330
0.0308	16130	11330
0.03085	16130	11330
0.0309	16140	11330
0.03095	16140	11330
0.031	16140	11330
0.03105	16140	11330
0.0311	16150	11330
0.03115	16150	11330
0.0312	16150	11330
0.03125	16150	11330
0.0313	16150	11330
0.03135	16160	11330
0.0314	16160	11330
0.03145	16160	11330
0.0315	16160	11330
0.03155	16160	11330
0.0316	16170	11330
0.03165	16170	11330
0.0317	16170	11330
0.03175	16170	11330
0.0318	16170	11330
0.03185	16180	11330
0.0319	16180	11330
0.03195	16180	11330
0.032	16180	11330
0.03205	16180	11330
0.0321	16190	11330
0.03215	16190	11330
0.0322	16190	11330
0.03225	16190	11330
0.0323	16190	11330
0.03235	16200	11330
0.0324	16200	11330
0.03245	16200	11330
0.0325	16200	11330
0.03255	16200	11330
0.0326	16200	11330
0.03265	16210	11330
0.0327	16210	11330
0.03275	16210	11330
0.0328	16210	11330
0.03285	16210	11330
0.0329	16210	11330
0.03295	16220	11330
0.033	16220	11330
0.03305	16220	11330
0.0331	16220	11330
0.03315	16220	11330
0.0332	16220	11330
0.03325	16230	11330
0.0333	16230	11330
0.03335	16230	11330
0.0334	16230	11330
0.03345	16230	11330
0.0335	16230	11330
0.03355	16230	11330
0.0336	16240	11330
0.03365	16240	11330
0.0337	16240	11330
0.03375	16240	11330
0.0338	16240	11330
0.03385	16240	11330
0.0339	16240	11330
0.03395	16250	11330
0.034	16250	11330
0.03405	16250	11330
0.0341	16250	11330
0.03415	16250	11330
0.0342	16250	11330
0.03425	16250	11330
0.0343	16250	11330
0.03435	16260	11330
0.0344	16260	11330
0.03445	16260	11330
0.0345	16260	11330
0.03455	16260	11330
0.0346	16260	11330
0.03465	16260	11330
0.0347	16260	11330
0.03475	16270	11330
0.0348	16270	11330
0.03485	16270	11330
0.0349	16270	11330
0.03495	16270	11330
0.035	16270	11330
0.03505	16270	11330
0.0351	16270	11330
0.03515	16270	11330
0.0352	16280	11330
0.03525	16280	11330
0.0353	16280	11330
0.03535	16280	11330
0.0354	16280	11330
0.03545	16280	11330
0.0355	16280	11330
0.03555	16280	11330
0.0356	16280	11330
0.03565	16290	11330
0.0357	16290	11330
0.03575	16290	11330
0.0358	16290	11330
0.03585	16290	11330
0.0359	16290	11330
0.03595	16290	11330
0.036	16290	11330
0.03605	16290	11330
0.0361	16290	11330
0.03615	16300	11330
0.0362	16300	11330
0.03625	16300	11330
0.0363	16300	11330
0.03635	16300	11330
0.0364	16300	11330
0.03645	16300	11330
0.0365	16300	11330
0.03655	16300	11330
0.0366	16300	11330
0.03665	16300	11330
0.0367	16310	11330
0.03675	16310	11330
0.0368	16310	11330
0.03685	16310	11330
0.0369	16310	11330
0.03695	16310	11330
0.037	16310	11330
0.03705	16310	11330
0.0371	16310	11330
0.03715	16310	11330
0.0372	16310	11330
0.03725	16310	11330
0.0373	16320	11330
0.03735	16320	11330
0.0374	16320	11330
0.03745	16320	11330
0.0375	16320	11330
0.03755	16320	11330
0.0376	16320	11330
0.03765	16320	11330
0.0377	16320	11330
0.03775	16320	11330
0.0378	16320	11330
0.03785	16320	11330
0.0379	16320	11330
0.03795	16320	11330
0.038	16330	11330
0.03805	16330	11330
0.0381	16330	11330
0.03815	16330	11330
0.0382	16330	11330
0.03825	16330	11330
0.0383	16330	11330
0.03835	16330	11330
0.0384	16330	11330
0.03845	16330	11330
0.0385	16330	11330
0.03855	16330	11330
0.0386	16330	11330
0.03865	16330	11330
0.0387	16330	11330
0.03875	16340	11330
0.0388	16340	11330
0.03885	16340	11330
0.0389	16340	11330
0.03895	16340	11330
0.039	16340	11330
0.03905	16340	11330
0.0391	16340	11330
0.03915	16340	11330
0.0392	16340	11330
0.03925	16340	11330
0.0393	16340	11330
0.03935	16340	11330
0.0394	16340	11330
0.03945	16340	11330
0.0395	16340	11330
0.03955	16340	11330
0.0396	16350	11330
0.03965	16350	11330
0.0397	16350	11330
0.03975	16350	11330
0.0398	16350	11330
0.03985	16350	11330
0.0399	16350	11330
0.03995	16350	11330
0.04	16350	11330
0.04005	16350	11330
0.0401	16350	11330
0.04015	16350	11330
0.0402	16350	11330
0.04025	16350	11330
0.0403	16350	11330
0.04035	16350	11330
0.0404	16350	11330
0.04045	16350	11330
0.0405	16350	11330
0.04055	16350	11330
0.0406	16360	11330
0.04065	16360	11330
0.0407	16360	11330
0.04075	16360	11330
0.0408	16360	11330
0.04085	16360	11330
0.0409	16360	11330
0.04095	16360	11330
0.041	16360	11330
0.04105	16360	11330
0.0411	16360	11330
0.04115	16360	11330
0.0412	16360	11330
0.04125	16360	11330
0.0413	16360	11330
0.04135	16360	11330
0.0414	16360	11330
0.04145	16360	11330
0.0415	16360	11330
0.04155	16360	11330
0.0416	16360	11330
0.04165	16360	11330
0.0417	16360	11330
0.04175	16360	11330
0.0418	16370	11330
0.04185	16370	11330
0.0419	16370	11330
0.04195	16370	11330
0.042	16370	11330
0.04205	16370	11330
0.0421	16370	11330
0.04215	16370	11330
0.0422	16370	11330
