time (s)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)
	Vb = -7 V 	Vb = -8 V 	Vb = -9 V 	Vb = -10 V 
4.67467467467467E-4	3067556.90439268	2540238.77354308	2139232.3032484	1863703.44132718
4.68468468468468E-4	3068524.97434845	2541172.87710365	2140096.74144219	1864469.64856884
4.69469469469469E-4	3069491.01130403	2542104.86414459	2140959.69190406	1865234.82510823
4.7047047047047E-4	3070455.02378036	2543035.07830985	2141820.75970891	1865998.60945984
4.71471471471471E-4	3071417.02024489	2543963.41521052	2142680.35188983	1866761.24904114
4.72472472472472E-4	3072377.0091121	2544889.88240837	2143538.34078466	1867522.50524156
4.73473473473473E-4	3073335.13962312	2545814.48741954	2144394.73236306	1868282.50373217
4.74474474474474E-4	3074291.13803675	2546737.23771496	2145249.53256143	1869041.24866196
4.75475475475475E-4	3075245.15378397	2547658.1407207	2146102.74728313	1869798.74415945
4.76476476476476E-4	3076197.19507156	2548577.09360995	2146954.38239872	1870555.11463665
4.77477477477477E-4	3077147.27005544	2549494.43434514	2147804.44374624	1871310.0032698
4.78478478478478E-4	3078095.38684111	2550409.72982466	2148652.9371314	1872063.89494836
4.79479479479479E-4	3079041.55348404	2551323.3172651	2149499.73712115	1872816.43340036
4.8048048048048E-4	3079985.91684717	2552235.09388467	2150345.24307747	1873567.74276043
4.81481481481481E-4	3080928.068316	2553145.06684762	2151188.93636461	1874317.9463607
4.82482482482482E-4	3081868.43236958	2554053.24327578	2152031.21555891	1875066.69021842
4.83483483483483E-4	3082806.87801034	2554959.63024886	2152871.95534225	1875814.45521064
4.84484484484484E-4	3083743.55077715	2555864.23480483	2153711.16133147	1876560.88789811
4.85485485485485E-4	3084678.18269952	2556766.95567663	2154548.83911269	1877306.22989253
4.86486486486486E-4	3085610.91950219	2557668.12461038	2155384.99424158	1878050.2478116
4.87487487487487E-4	3086541.76885492	2558567.3158893	2156219.63224356	1878792.94612284
