time (s)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)
	Vb = -7 V 	Vb = -8 V 	Vb = -9 V 	Vb = -10 V 
2.21E-4	1448312.24003763	1775868.49083067	2200646.61904877	2627110.80903193
2.22E-4	1449422.99738322	1777907.88716892	2203324.28622523	2629905.14218532
2.23E-4	1450532.57236519	1779942.6220301	2205992.10895047	2632686.3293498
2.24E-4	1451640.96686957	1781972.71214724	2208650.14685816	2635454.47630627
2.25E-4	1452748.18277873	1783998.17417597	2211298.45909526	2638209.68765615
2.26E-4	1453854.22197137	1786019.02469489	2213937.10432692	2640952.06683798
2.27E-4	1454959.08632253	1788035.28020602	2216566.14074129	2643681.71614374
2.28E-4	1456062.7777036	1790046.9571352	2219185.62605432	2646398.73673495
2.29E-4	1457165.29798232	1792054.0718325	2221795.61751447	2649103.22865844
2.3E-4	1458266.64902282	1794056.64057261	2224396.17190733	2651795.29086184
2.31E-4	1459366.83268556	1796054.6795553	2226987.34556031	2654475.02120891
2.32E-4	1460465.85082742	1798048.20490574	2229569.19434712	2657142.5164945
2.33E-4	1461563.70530163	1800037.232675	2232141.77369229	2659797.87245934
2.34E-4	1462660.39795784	1802021.77884036	2234705.13857564	2662441.18380454
2.35E-4	1463755.93064209	1804001.85930576	2237259.34353668	2665072.54420586
2.36E-4	1464850.30519683	1805977.48990216	2239804.44267892	2667692.04632782
2.37E-4	1465943.52346094	1807948.68638796	2242340.48967419	2670299.78183739
2.38E-4	1467035.5872697	1809915.46444939	2244867.5377669	2672895.8414177
2.39E-4	1468126.49845483	1811877.83970086	2247385.63977823	2675480.31478133
2.4E-4	1469216.25884451	1813835.82768539	2249894.84811026	2678053.29068348
2.41E-4	1470304.87026334	1815789.44387496	2252395.21475012	2680614.85693487
2.42E-4	1471392.33453237	1817738.70367091	2254886.79127397	2683165.10041453
2.43E-4	1472478.65346914	1819683.62240432	2257369.62885111	2685704.10708225
2.44E-4	1473563.82888764	1821624.21533636	2259843.77824785	2688231.96199093
2.45E-4	1474647.86259833	1823560.49765869	2262309.28983149	2690748.74929868
2.46E-4	1475730.75640817	1825492.48449383	2264766.21357418	2693254.55228076
2.47E-4	1476812.51212059	1827420.19089551	2267214.59905674	2695749.45334128
2.48E-4	1477893.13153554	1829343.63184906	2269654.49547243	2698233.53402479
2.49E-4	1478972.61644946	1831262.82227177	2272085.95163076	2700706.87502761
