time (s)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)
	Vb = 0.65 V	Vb = 0.7 V	Vb = 0.75 V	Vb = 0.8 V	Vb = 0.85 V	Vb = 0.9 V	Vb = 0.95 V	Vb = 1 V
1.97237237237237E-5	215.327145177893	250.825118357854	296.281640904705	351.721169387866	417.170189723835	492.644258523037	578.054360981672	672.466787637442
1.97477477477477E-5	215.323942401301	250.820844629165	296.276053073483	351.714004670728	417.161181507422	492.633200599564	578.041478029279	672.455286976618
1.97717717717718E-5	215.320757730258	250.816593241082	296.270492227137	351.706871891109	417.15221032854	492.622184572796	578.028639922231	672.443822367472
1.97957957957958E-5	215.317591061406	250.812364075163	296.264958232729	351.699770902662	417.143276029098	492.611210275919	578.015846494347	672.432393689755
1.98198198198198E-5	215.314442291989	250.808157013612	296.259450958002	351.692701559747	417.134378451728	492.600277542843	578.003097580127	672.421000823661
1.98438438438438E-5	215.311311319848	250.803971939273	296.253970271375	351.685663717426	417.12551743978	492.589386208202	577.99039301476	672.40964364983
1.98678678678679E-5	215.308198043418	250.799808735629	296.248516041941	351.678657231459	417.116692837319	492.578536107344	577.977732634108	672.398322049344
1.98918918918919E-5	215.305102361724	250.795667286797	296.243088139461	351.671681958301	417.107904489121	492.567727076336	577.965116274713	672.387035903728
1.99159159159159E-5	215.302024174379	250.791547477524	296.237686434362	351.664737755099	417.099152240672	492.556958951953	577.952543773789	672.375785094941
1.99399399399399E-5	215.29896338158	250.787449193184	296.23231079773	351.657824479687	417.090435938159	492.546231571678	577.940014969218	672.364569505383
1.9963963963964E-5	215.295919884102	250.783372319776	296.226961101314	351.650941990583	417.081755428473	492.535544773698	577.92752969955	672.353389017888
1.9987987987988E-5	215.292893583299	250.779316743916	296.221637217514	351.644090146986	417.073110559199	492.524898396901	577.915087803995	672.342243515721
2.0012012012012E-5	215.289884381096	250.775282352839	296.216339019381	351.637268808771	417.064501178617	492.514292280871	577.902689122427	672.331132882579
2.0036036036036E-5	215.286892179988	250.771269034391	296.211066380616	351.630477836487	417.055927135698	492.503726265886	577.890333495373	672.32005700259
2.00600600600601E-5	215.283916883037	250.767276677028	296.205819175562	351.623717091353	417.047388280097	492.493200192912	577.878020764016	672.309015760308
