Pulse Number	Voltage (V)	Measurements (Ù)	Model (Ù)	VTEAM (Ù)
411	0.6	16802.072266	16513.3224834425	16545.9656400368
412	0.6	16505.226562	16513.7235254505	16546.4172498595
413	0.6	16472.240234	16514.1237438391	16546.8684632808
414	0.6	16565.642578	16514.5231404676	16547.319280944
415	0.6	16997.291016	16514.9217171906	16547.7697034912
416	0.6	16567.464844	16515.3194758577	16548.2197315626
417	0.6	16365.905273	16515.7164183135	16548.6693657974
418	0.6	16811.195312	16516.1125463981	16549.1186068328
419	0.6	17091.521484	16516.5078619465	16549.5674553047
420	0.6	16792.341797	16516.9023667891	16550.0159118476
421	0.6	16517.341797	16517.2960627512	16550.4639770945
422	0.6	16769.626953	16517.6889516537	16550.9116516768
423	0.6	16820.734375	16518.0810353124	16551.3589362243
424	0.6	16917.134766	16518.4723155387	16551.8058313657
425	0.6	16695.099609	16518.8627941389	16552.252337728
426	0.6	16767.365234	16519.2524729148	16552.6984559367
427	0.6	16380.679688	16519.6413536634	16553.1441866159
428	0.6	16619.205078	16520.0294381772	16553.5895303882
429	0.6	16555.576172	16520.4167282438	16554.0344878749
430	0.6	16560.751953	16520.8032256463	16554.4790596956
431	0.6	16780.328125	16521.1889321631	16554.9232464687
432	0.6	16567.134766	16521.5738495679	16555.3670488109
433	0.6	16264.155273	16521.9579796299	16555.8104673378
434	0.6	16743.226562	16522.3413241137	16556.2535026633
435	0.6	16265.183594	16522.7238847791	16556.6961554
436	0.6	16491.541016	16523.1056633818	16557.138426159
437	0.6	16608.662109	16523.4866616723	16557.5803155501
438	0.6	16665.3125	16523.8668813972	16558.0218241814
439	0.6	16719.820312	16524.2463242981	16558.46295266
440	0.6	16594.667969	16524.6249921124	16558.9037015914
441	0.6	16740.765625	16525.0028865728	16559.3440715795
442	0.6	16752.048828	16525.3800094075	16559.7840632272
443	0.6	16755.53125	16525.7563623405	16560.2236771357
444	0.6	16657.414062	16526.1319470911	16560.6629139049
445	0.6	16642.789062	16526.5067653741	16561.1017741334
446	0.6	16581.408203	16526.8808189001	16561.5402584184
447	0.6	16635.613281	16527.2541093753	16561.9783673555
448	0.6	16475.880859	16527.6266385011	16562.4161015392
449	0.6	16497.740234	16527.9984079751	16562.8534615626
450	0.6	16595.681641	16528.36941949	16563.2904480173
451	0.6	16728.464844	16528.7396747344	16563.7270614937
452	0.6	16466.203125	16529.1091753926	16564.1633025806
453	0.6	16457.234375	16529.4779231444	16564.5991718658
454	0.6	16329.024414	16529.8459196654	16565.0346699354
455	0.6	16807.220703	16530.2131666269	16565.4697973745
456	0.6	16595.527344	16530.5796656959	16565.9045547665
457	0.6	16747.236328	16530.945418535	16566.3389426938
458	0.6	16289.390625	16531.3104268027	16566.7729617372
459	0.6	16843.814453	16531.6746921532	16567.2066124763
460	0.6	17033.121094	16532.0382162363	16567.6398954895
461	0.6	16302.951172	16532.4010006979	16568.0728113536
462	0.6	16636.470703	16532.7630471794	16568.5053606443
463	0.6	16640.222656	16533.1243573182	16568.937543936
464	0.6	16832.580078	16533.4849327473	16569.3693618016
465	0.6	16677.451172	16533.8447750957	16569.8008148128
466	0.6	16792.611328	16534.2038859883	16570.2319035401
467	0.6	16510.816406	16534.5622670456	16570.6626285526
468	0.6	16715.826172	16534.9199198841	16571.0929904181
469	0.6	16306.349609	16535.2768461163	16571.5229897032
470	0.6	16670.318359	16535.6330473504	16571.9526269731
471	0.6	16112.098633	16535.9885251907	16572.3819027917
472	0.6	16082.171875	16536.3432812371	16572.8108177219
473	0.6	16328.201172	16536.6973170858	16573.239372325
474	0.6	16660.060547	16537.0506343287	16573.6675671612
475	0.6	16421.171875	16537.4032345538	16574.0954027893
476	0.6	16523.994141	16537.7551193449	16574.5228797671
477	0.6	16308.109375	16538.106290282	16574.9499986509
478	0.6	16681.076172	16538.4567489408	16575.3767599957
479	0.6	16666.246094	16538.8064968933	16575.8031643556
480	0.6	16283.027344	16539.1555357073	16576.229212283
481	0.6	16847.75	16539.5038669468	16576.6549043294
482	0.6	16480.039062	16539.8514921716	16577.080241045
483	0.6	16623.871094	16540.1984129379	16577.5052229786
484	0.6	16507.400391	16540.5446307976	16577.9298506779
485	0.6	16224.061523	16540.890147299	16578.3541246894
486	0.6	16797.367188	16541.2349639863	16578.7780455583
487	0.6	16263.753906	16541.5790823997	16579.2016138286
488	0.6	16562.632812	16541.9225040758	16579.6248300431
489	0.6	16896.605469	16542.2652305471	16580.0476947434
490	0.6	16462.548828	16542.6072633424	16580.4702084697
491	0.6	16796.503906	16542.9486039864	16580.8923717613
492	0.6	16539.193359	16543.2892540003	16581.3141851562
493	0.6	16547.318359	16543.6292149011	16581.735649191
494	0.6	16628.441406	16543.9684882023	16582.1567644014
495	0.6	16526.787109	16544.3070754134	16582.5775313217
496	0.6	16852.603516	16544.6449780402	16582.997950485
497	0.6	16253.864258	16544.9821975848	16583.4180224234
498	0.6	16774.265625	16545.3187355452	16583.8377476677
499	0.6	16430.021484	16545.654593416	16584.2571267474
500	0.6	16627.25	16545.9897726878	16584.6761601911
501	-0.6	16520.095703	16546.3242748477	16585.0948485261
502	-0.6	16358.454102	16539.9519134648	16583.5262871182
503	-0.6	16414.658203	16533.6371894656	16581.9586710873
504	-0.6	16153.78418	16527.3791628643	16580.3919997503
505	-0.6	15717.371094	16521.1769165018	16578.8262724236
506	-0.6	16052.512695	16515.0295552343	16577.2614884273
507	-0.6	16415.638672	16508.9362055893	16575.6976470784
508	-0.6	16273.229492	16502.8960139572	16574.1347476954
509	-0.6	15888.327148	16496.908147106	16572.5727895972
510	-0.6	16625.855469	16490.9717911721	16571.0117721029
511	-0.6	16060.291992	16485.0861510628	16569.4516945322
512	-0.6	15972.777344	16479.2504498857	16567.892556205
513	-0.6	16025.458008	16473.4639283961	16566.3343564415
514	-0.6	16091.749023	16467.7258444671	16564.7770945625
515	-0.6	16379.010742	16462.0354725788	16563.220769889
516	-0.6	16283.87207	16456.3921033261	16561.6653817422
517	-0.6	15861.597656	16450.7950429455	16560.110929444
518	-0.6	16092.373047	16445.2436128582	16558.5574123165
519	-0.6	15934.492188	16439.7371492303	16557.004829682
520	-0.6	16204.229492	16434.2750025487	16555.4531808634
521	-0.6	16364.660156	16428.8565372558	16553.9024651839
522	-0.6	16109.073242	16423.4811312236	16552.352681967
523	-0.6	16208.774414	16418.148175505	16550.8038305365
524	-0.6	16317.642578	16412.8570739224	16549.2559102168
525	-0.6	16170.470703	16407.607242713	16547.7089203325
526	-0.6	16232.905273	16402.3981101868	16546.1628602084
527	-0.6	16212.552734	16397.2291163956	16544.6177291701
528	-0.6	15830.973633	16392.0997128191	16543.0735265431
529	-0.6	15693.197266	16387.0093620405	16541.5302516536
530	-0.6	16108.283203	16381.9575374643	16539.9879038279
531	-0.6	16369.130859	16376.9437230222	16538.4464823929
532	-0.6	16129.838867	16371.9674128955	16536.9059866758
533	-0.6	16039.119141	16367.0281112433	16535.366416004
534	-0.6	15949.242188	16362.1253319439	16533.8277697054
535	-0.6	16108.191406	16357.2585983415	16532.2900471084
536	-0.6	15752.884766	16352.4274430022	16530.7532475415
537	-0.6	16091.441406	16347.6314074776	16529.2173703337
538	-0.6	15945.323242	16342.8700420762	16527.6824148143
539	-0.6	16294.397461	16338.1429056413	16526.1483803131
540	-0.6	16187.46582	16333.4495653371	16524.6152661602
541	-0.6	15888.261719	16328.7895964399	16523.0830716861
542	-0.6	16288.672852	16324.1625821373	16521.5517962214
543	-0.6	16381.732422	16319.5681133326	16520.0214390975
544	-0.6	16339.53125	16315.0057884558	16518.4919996459
545	-0.6	16087.572266	16310.4752132807	16516.9634771985
546	-0.6	16050.724609	16305.9760007445	16515.4358710876
547	-0.6	15985.402344	16301.507770778	16513.9091806459
548	-0.6	15842.393555	16297.0701501369	16512.3834052064
549	-0.6	16220.654297	16292.6627722397	16510.8585441025
550	-0.6	16265.734375	16288.2852770096	16509.334596668
551	-0.6	16388.96875	16283.9373107224	16507.811562237
552	-0.6	16323.419922	16279.6185258568	16506.2894401441
553	-0.6	16060.431641	16275.3285809513	16504.768229724
554	-0.6	15742.474609	16271.0671404686	16503.2479303122
555	-0.6	16373.916992	16266.8338746442	16501.7285412441
556	-0.6	16098.018555	16262.62845937	16500.2100618559
557	-0.6	16116.452148	16258.4505760606	16498.6924914839
558	-0.6	16278.276367	16254.2999115291	16497.1758294647
559	-0.6	15805.047852	16250.1761578642	16495.6600751356
560	-0.6	16210.045898	16246.0790123138	16494.145227834
561	-0.6	15969.192383	16242.0081771703	16492.6312868978
