time (s)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)
	Vb = -1 V	Vb = -1.15 V	Vb = -1.3 V	Vb = -1.45 V	Vb = -1.6 V	Vb = -1.75 V
8.112E-6	249.989783758643	250.003074619339	251.253593493039	295.984093912763	632.882213230585	900.015975138381
8.136E-6	249.989783855001	250.003114036965	251.257325423233	296.110264836973	633.292408409019	900.224453829831
8.16E-6	249.989783951358	250.003153454587	251.261057310728	296.236380760436	633.701176073509	900.432179896555
8.184E-6	249.989784047716	250.003192872203	251.264789155522	296.362441712561	634.108524580741	900.639158339517
8.208E-6	249.989784144074	250.003232289815	251.268520957618	296.488447722743	634.514462220408	900.845394111592
8.232E-6	249.989784240432	250.003271707423	251.272252717016	296.614398820368	634.918997215883	901.050892118173
8.256E-6	249.98978433679	250.003311125025	251.275984433717	296.740295034806	635.322137724882	901.255657217764
8.28E-6	249.989784433148	250.003350542623	251.27971610772	296.866136395417	635.723891840118	901.459694222564
8.304E-6	249.989784529506	250.003389960216	251.283447739026	296.991922931548	636.124267589949	901.663007899043
8.328E-6	249.989784625864	250.003429377804	251.287179327637	297.117654672533	636.523272939021	901.865602968509
8.352E-6	249.989784722221	250.003468795387	251.290910873552	297.243331647694	636.920915788897	902.067484107668
8.376E-6	249.989784818579	250.003508212966	251.294642376772	297.368953886341	637.317203978682	902.268655949172
8.4E-6	249.989784914937	250.00354763054	251.298373837298	297.49452141777	637.712145285644	902.469123082162
8.424E-6	249.989785011295	250.003587048109	251.30210525513	297.620034271267	638.10574742582	902.6688900528
8.448E-6	249.989785107653	250.003626465674	251.305836630269	297.745492476104	638.498018054624	902.867961364792
8.472E-6	249.989785204011	250.003665883233	251.309567962715	297.87089606154	638.888964767439	903.066341479914
8.496E-6	249.989785300369	250.003705300788	251.313299252469	297.996245056822	639.27859510021	903.26403481851
8.52E-6	249.989785396726	250.003744718338	251.317030499531	298.121539491187	639.666916530021	903.461045760004
8.544E-6	249.989785493084	250.003784135884	251.320761703902	298.246779393855	640.053936475677	903.657378643388
8.568E-6	249.989785589442	250.003823553425	251.324492865583	298.371964794038	640.439662298271	903.853037767712
8.592E-6	249.9897856858	250.003862970961	251.328223984574	298.497095720932	640.824101301741	904.048027392565
8.616E-6	249.989785782158	250.003902388492	251.331955060875	298.622172203722	641.207260733434	904.242351738542
8.64E-6	249.989785878516	250.003941806018	251.335686094488	298.747194271582	641.589147784651	904.436014987719
8.664E-6	249.989785974874	250.00398122354	251.339417085412	298.87216195367	641.96976959119	904.629021284104
8.688E-6	249.989786071231	250.004020641057	251.343148033649	298.997075279134	642.349133233883	904.821374734093
8.712E-6	249.989786167589	250.004060058569	251.346878939198	299.12193427711	642.727245739128	905.013079406914
8.736E-6	249.989786263947	250.004099476077	251.350609802061	299.246738976719	643.104114079413	905.20413933507
8.76E-6	249.989786360305	250.004138893579	251.354340622238	299.371489407073	643.479745173834	905.394558514766
8.784E-6	249.989786456663	250.004178311077	251.358071399729	299.496185597267	643.854145888608	905.584340906338
8.808E-6	249.989786553021	250.004217728571	251.361802134535	299.620827576388	644.227323037579	905.773490434675
