time (s)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)
	Vb = 0.65 V	Vb = 0.7 V	Vb = 0.75 V	Vb = 0.8 V	Vb = 0.85 V	Vb = 0.9 V	Vb = 0.95 V	Vb = 1 V
3.504E-6	716.491798060048	647.386765408	557.26781572604	476.494053165762	408.292769636026	350.26111046314	300.111700412276	256.155559381967
3.528E-6	716.353583376428	647.070684657476	556.919967117611	476.168781034496	407.992892736524	349.982480859734	299.850407834404	255.908585769558
3.552E-6	716.215682611368	646.756384805574	556.574523695995	475.845829806568	407.695159986086	349.705838467221	299.590973405955	255.663363921386
3.576E-6	716.078094394722	646.443846569644	556.231453423874	475.525167493483	407.399541704888	349.431155798566	299.333371462703	255.419869676542
3.6E-6	715.940817365169	646.133050974664	555.890724892847	475.206762757111	407.106008819633	349.158405928406	299.077576864363	255.178079366898
3.624E-6	715.803850170142	645.82397934677	555.552307307172	474.890584892256	406.814532847214	348.887562477918	298.823564980487	254.937969803844
3.648E-6	715.667191465752	645.516613306959	555.216170468023	474.57660380982	406.525085878917	348.618599600191	298.571311676819	254.699518265474
3.672E-6	715.530839916715	645.210934764956	554.88228475825	474.264790020506	406.237640565151	348.351491966078	298.320793302114	254.462702484186
3.696E-6	715.394794196279	644.906925913232	554.550621127619	473.955114619065	405.952170100683	348.086214750521	298.071986675385	254.227500634703
3.72E-6	715.259052986151	644.604569221185	554.221151078518	473.647549269051	405.66864821035	347.822743619315	297.824869073563	253.993891322473
3.744E-6	715.123614976427	644.303847429462	553.893846652107	473.34206618807	405.387049135241	347.561054716312	297.57941821957	253.761853572457
3.768E-6	714.988478865523	644.004743544428	553.568680414897	473.0386381335	405.107347619321	347.301124651029	297.335612270761	253.531366818267
3.792E-6	714.853643360101	643.707240832774	553.245625445746	472.737238388673	404.829518896487	347.042930486662	297.093429807756	253.302410891664
3.816E-6	714.719107175003	643.411322816264	552.924655323253	472.437840749484	404.553538678034	346.786449728475	296.852849823606	253.074966012381
3.84E-6	714.584869033183	643.116973266606	552.60574411353	472.140419511436	404.279383140522	346.531660312563	296.613851713324	252.849012778275
3.864E-6	714.450927665638	642.824176200458	552.288866358355	471.84494945708	404.007028914019	346.278540594966	296.376415263729	252.624532155787
3.888E-6	714.31728181134	642.532915874553	551.973997063671	471.551405843847	403.736453070721	346.027069341122	296.140520643617	252.401505470697
3.912E-6	714.183930217173	642.243176780948	551.661111688435	471.259764392265	403.467633113914	345.777225715653	295.906148394235	252.17991439917
3.936E-6	714.050871637865	641.954943642385	551.350186133801	470.970001274525	403.200546967289	345.528989272464	295.673279420047	251.959740959078
3.96E-6	713.918104835925	641.668201407769	551.041196732613	470.68209310341	402.935172964575	345.282339945144	295.441894979789	251.740967501588
3.984E-6	713.785628581575	641.382935247753	550.734120239221	470.396016921547	402.6714898395	345.037258037664	295.211976677791	251.523576703003
4.008E-6	713.653441652693	641.099130550435	550.428933819581	470.111750190997	402.409476716042	344.793724215358	294.983506455568	251.307551556862
4.032E-6	713.521542834742	640.816772917151	550.125615041653	469.829270783147	402.149113098988	344.55171949617	294.756466583659	251.092875366262
4.056E-6	713.389930920715	640.535848158371	549.824141866068	469.548556968906	401.89037886477	344.311225242173	294.530839653718	250.879531736423
4.08E-6	713.25860471107	640.256342289702	549.524492637075	469.269587409197	401.63325425257	344.072223151331	294.306608570833	250.667504567467
4.104E-6	713.127563013667	639.97824152797	549.226646073731	468.992341145725	401.3777198557	343.834695249514	294.083756546076	250.456778047418
4.128E-6	712.996804643713	639.701532287406	548.930581261357	468.716797592013	401.123756613223	343.598623882742	293.862267089277	250.247336645398
4.152E-6	712.866328423698	639.42620117592	548.636277643223	468.442936524705	400.87134580183	343.363991709658	293.642124002001	250.039165105035
4.176E-6	712.736133183335	639.152234991458	548.343715012475	468.17073807512	400.620469027949	343.130781694226	293.423311370734	249.832248438049
4.2E-6	712.606217759508	638.879620718448	548.052873504284	467.900182721046	400.37110822008	342.89897709863	293.205813560269	249.626571918035
4.224E-6	712.476580996204	638.608345524325	547.763733588212	467.631251278772	400.123245621356	342.668561476386	292.98961520728	249.422121074419
4.248E-6	712.347221744467	638.338396756141	547.476276060792	467.363924895346	399.876863782315	342.439518665648	292.774701214074	249.218881686589
4.272E-6	712.21813886233	638.069761937247	547.190482038313	467.098185041055	399.631945553876	342.211832782706	292.561056742532	249.016839778191
4.296E-6	712.089331214768	637.802428764055	546.906332949795	466.834013502112	399.388474080516	341.985488215666	292.348667208216	248.815981611591
4.32E-6	711.960797673635	637.536385102874	546.623810530164	466.57139237355	399.146432793639	341.760469618309	292.137518274638	248.616293682484
4.344E-6	711.832537117616	637.271618986814	546.342896813607	466.31030405232	398.90580540513	341.536761904124	291.927595847695	248.417762714665
4.368E-6	711.704548432166	637.008118612763	546.063574127105	466.050731230569	398.666575901086	341.314350240506	291.718886070261	248.220375654937
4.392E-6	711.576830509459	636.74587233843	545.785825084144	465.792656889111	398.428728535728	341.093220043109	291.511375316917	248.024119668161
