time (s)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)
	Vb = 8.7 V	Vb = 9 V	Vb = 9.2 V	Vb = 9.5 V
3.46346346346346E-4	1165388.36047526	1223514.02067067	1274393.21808391	1368874.03042583
3.47347347347347E-4	1164922.06637373	1223047.39724548	1273926.46539839	1368407.31935904
3.48348348348348E-4	1164457.12471139	1222582.1256126	1273461.06371081	1367941.95695807
3.49349349349349E-4	1163993.52773091	1222118.19802031	1272997.0052763	1367477.9354981
3.5035035035035E-4	1163531.26774148	1221655.60678335	1272534.28241638	1367015.24732048
3.51351351351351E-4	1163070.33711811	1221194.34428221	1272072.88751825	1366553.88483201
3.52352352352352E-4	1162610.72830084	1220734.40296236	1271612.813034	1366093.84050415
3.53353353353353E-4	1162152.433794	1220275.77533351	1271154.05147987	1365635.10687231
3.54354354354354E-4	1161695.44616552	1219818.45396888	1270696.59543557	1365177.67653514
3.55355355355355E-4	1161239.75804618	1219362.4315045	1270240.43754352	1364721.54215379
3.56356356356356E-4	1160785.36212893	1218907.70063849	1269785.57050817	1364266.69645123
3.57357357357357E-4	1160332.25116814	1218454.25413036	1269331.9870953	1363813.13221156
3.58358358358358E-4	1159880.41797897	1218002.08480035	1268879.68013133	1363360.8422793
3.59359359359359E-4	1159429.8554367	1217551.18552872	1268428.64250264	1362909.81955874
3.6036036036036E-4	1158980.55647598	1217101.54925511	1267978.86715492	1362460.05701328
3.61361361361361E-4	1158532.51409025	1216653.16897786	1267530.3470925	1362011.54766476
3.62362362362362E-4	1158085.72133109	1216206.03775337	1267083.07537769	1361564.28459282
3.63363363363363E-4	1157640.1713075	1215760.14869547	1266637.04513018	1361118.26093426
3.64364364364364E-4	1157195.85718537	1215315.49497478	1266192.24952636	1360673.46988243
3.65365365365365E-4	1156752.77218677	1214872.06981806	1265748.68179875	1360229.90468659
3.66366366366366E-4	1156310.90958941	1214429.86650765	1265306.33523532	1359787.5586513
3.67367367367367E-4	1155870.26272597	1213988.87838082	1264865.20317897	1359346.42513584
3.68368368368368E-4	1155430.82498353	1213549.0988292	1264425.27902686	1358906.49755357
3.69369369369369E-4	1154992.58980299	1213110.52129818	1263986.55622984	1358467.76937142
3.7037037037037E-4	1154555.55067847	1212673.13928632	1263549.02829191	1358030.23410922
3.71371371371371E-4	1154119.70115673	1212236.94634478	1263112.6887696	1357593.8853392
3.72372372372372E-4	1153685.03483665	1211801.93607676	1262677.5312714	1357158.71668539
3.73373373373373E-4	1153251.54536859	1211368.10213694	1262243.54945725	1356724.72182309
