time (s)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)
	Vb = -1 V	Vb = -1.15 V	Vb = -1.3 V	Vb = -1.45 V	Vb = -1.6 V	Vb = -1.75 V
7.61561561561562E-6	899.794203910554	726.813255464211	583.837097717884	471.178435951584	389.987745925077	340.930634762103
7.63963963963964E-6	899.917479273755	726.940572339856	583.96825284936	471.311590178979	390.116449410927	341.046874575689
7.66366366366366E-6	900.040224798497	727.067356231768	584.098873926417	471.444221677782	390.244681160593	341.16273515752
7.68768768768769E-6	900.162443923133	727.193610577748	584.228964369458	471.576333738456	390.372443984086	341.278218530554
7.71171171171171E-6	900.284140053801	727.319338783401	584.358527566915	471.707929621108	390.499740666813	341.393326701864
7.73573573573574E-6	900.405316564821	727.444544222533	584.487566875643	471.839012555856	390.626573969866	341.508061662807
7.75975975975976E-6	900.52597679909	727.569230237548	584.616085621314	471.969585743196	390.7529466303	341.622425389187
7.78378378378378E-6	900.646124068473	727.693400139832	584.744087098801	472.099652354367	390.878861361418	341.736419841414
7.80780780780781E-6	900.76576165418	727.81705721014	584.871574572556	472.229215531702	391.004320853037	341.850046964668
7.83183183183183E-6	900.884892807148	727.940204698971	584.998551276983	472.358278388981	391.129327771763	341.96330868905
7.85585585585585E-6	901.00352074841	728.062845826935	585.125020416808	472.486844011774	391.253884761256	342.076206929745
7.87987987987988E-6	901.121648669458	728.184983785124	585.250985167437	472.614915457781	391.377994442494	342.188743587167
7.9039039039039E-6	901.239279732606	728.306621735465	585.376448675316	472.742495757167	391.501659414029	342.300920547119
7.92792792792793E-6	901.356417071342	728.427762811079	585.501414058278	472.869587912891	391.624882252242	342.412739680934
7.95195195195195E-6	901.473063790678	728.548410116627	585.625884405891	472.99619490103	391.747665511598	342.524202845631
7.97597597597598E-6	901.589222967492	728.668566728653	585.749862779801	473.1223196711	391.87001172489	342.635311884052
8E-6	901.704897650868	728.788235695926	585.873352214059	473.247965146371	391.991923403485	342.746068625014
8.02402402402402E-6	901.820090862428	728.907420039766	585.996355715462	473.373134224176	392.113403037564	342.856474883443
8.04804804804805E-6	901.93480559666	729.026122754378	586.11887626387	473.497829776217	392.234453096362	342.966532460523
8.07207207207207E-6	902.049044821245	729.144346807173	586.240916812529	473.622054648869	392.355076028398	343.076243143826
8.0960960960961E-6	902.162811477369	729.262095139089	586.362480288389	473.745811663472	392.475274261711	343.185608707453
8.12012012012012E-6	902.276108480045	729.379370664898	586.483569592414	473.869103616627	392.595050204084	343.294630912171
8.14414414414414E-6	902.388938718414	729.496176273522	586.604187599884	473.991933280485	392.714406243269	343.403311505541
8.16816816816817E-6	902.501305056055	729.612514828336	586.724337160704	474.114303403027	392.833344747209	343.511652222053
8.19219219219219E-6	902.613210331286	729.728389167464	586.844021099698	474.236216708349	392.951868064259	343.619654783256
8.21621621621622E-6	902.724657357455	729.843802104081	586.963242216902	474.357675896934	393.069978523396	343.727320897886
8.24024024024024E-6	902.835648923234	729.958756426697	587.082003287852	474.478683645925	393.187678434437	343.834652261991
8.26426426426426E-6	902.946187792908	730.073254899452	587.200307063873	474.599242609394	393.304970088243	343.941650559059
8.28828828828829E-6	903.056276706656	730.187300262391	587.318156272356	474.719355418605	393.421855756933	344.048317460141
8.31231231231231E-6	903.165918380831	730.30089523175	587.435553617034	474.839024682278	393.538337694081	344.154654623971
8.33633633633634E-6	903.275115508234	730.414042500225	587.552501778257	474.958252986838	393.654418134919	344.260663697089
