time (s)	Resistance (Ù)	Resistance (Ù)
	Device 1	Device 2
0.01797	14040	14880
0.01799	14040	14870
0.018	14050	14860
0.01802	14050	14850
0.01803	14060	14840
0.01805	14060	14830
0.01806	14070	14820
0.01808	14070	14810
0.01809	14070	14800
0.01811	14080	14790
0.01812	14080	14780
0.01814	14090	14770
0.01815	14090	14760
0.01817	14100	14750
0.01819	14100	14740
0.0182	14100	14720
0.01822	14110	14710
0.01823	14110	14700
0.01825	14120	14690
0.01827	14120	14680
0.01828	14130	14670
0.0183	14130	14660
0.01832	14140	14650
0.01833	14140	14640
0.01835	14140	14620
0.01837	14150	14610
0.01838	14150	14600
0.0184	14160	14590
0.01842	14160	14580
0.01844	14170	14570
0.01845	14170	14550
0.01847	14180	14540
0.01849	14180	14530
0.01851	14190	14520
0.01853	14190	14510
0.01854	14200	14490
0.01856	14200	14480
0.01858	14210	14470
0.0186	14210	14460
0.01862	14220	14450
0.01864	14220	14430
0.01866	14230	14420
0.01868	14230	14410
0.01869	14240	14400
0.01871	14240	14380
0.01873	14250	14370
0.01875	14250	14360
0.01877	14260	14340
0.01879	14270	14330
0.01881	14270	14320
0.01883	14280	14300
0.01885	14280	14290
0.01888	14290	14280
0.0189	14290	14260
0.01892	14300	14250
0.01894	14300	14240
0.01896	14310	14220
0.01898	14320	14210
0.019	14320	14200
0.01902	14330	14180
0.01905	14330	14170
0.01907	14340	14160
0.01909	14350	14140
0.01911	14350	14130
0.01914	14360	14110
0.01916	14360	14100
0.01918	14370	14080
0.01921	14380	14070
0.01923	14380	14060
0.01925	14390	14040
0.01928	14390	14030
0.0193	14400	14010
0.01932	14410	14000
0.01935	14410	13980
0.01937	14420	13970
0.0194	14430	13950
0.01942	14430	13940
0.01945	14440	13920
0.01947	14450	13910
0.0195	14450	13890
0.01953	14460	13880
0.01955	14470	13860
0.01958	14470	13840
0.0196	14480	13830
0.01963	14490	13810
0.01966	14490	13800
0.01968	14500	13780
0.01971	14510	13760
0.01974	14510	13750
0.01977	14520	13730
0.0198	14530	13720
0.01982	14530	13700
0.01985	14540	13680
0.01988	14550	13670
0.01991	14560	13650
0.01994	14560	13640
0.01997	14570	13620
0.02	14580	13600
0.02003	14590	13590
0.02006	14590	13570
0.02009	14600	13550
0.02012	14610	13540
0.02015	14620	13520
0.02018	14620	13500
0.02021	14630	13480
0.02024	14640	13470
0.02027	14650	13450
0.0203	14650	13430
0.02033	14660	13420
0.02036	14670	13400
0.0204	14680	13380
0.02043	14690	13370
0.02046	14690	13350
0.02049	14700	13330
0.02052	14710	13310
0.02056	14720	13300
0.02059	14720	13280
0.02062	14730	13260
0.02066	14740	13250
0.02069	14750	13230
0.02072	14760	13210
0.02076	14760	13190
0.02079	14770	13180
0.02083	14780	13160
0.02086	14790	13140
0.02089	14800	13130
0.02093	14800	13110
0.02096	14810	13090
0.021	14820	13070
0.02103	14830	13060
0.02107	14840	13040
0.0211	14850	13020
0.02114	14850	13010
0.02117	14860	12990
0.02121	14870	12970
0.02125	14880	12960
0.02128	14890	12940
0.02132	14900	12920
0.02135	14900	12910
0.02139	14910	12890
0.02143	14920	12870
0.02146	14930	12850
0.0215	14940	12840
0.02154	14950	12820
0.02158	14950	12800
0.02161	14960	12790
0.02165	14970	12770
0.02169	14980	12750
0.02173	14990	12740
0.02177	15000	12720
0.02181	15000	12710
0.02184	15010	12690
0.02188	15020	12670
0.02192	15030	12660
0.02196	15040	12640
0.022	15050	12620
0.02204	15060	12610
0.02208	15060	12590
0.02213	15070	12570
0.02217	15080	12560
0.02221	15090	12540
0.02225	15100	12520
0.0223	15110	12500
0.02234	15120	12490
0.02238	15130	12470
0.02243	15140	12450
0.02248	15150	12440
0.02252	15160	12420
0.02257	15170	12400
0.02262	15180	12380
0.02267	15190	12360
0.02273	15200	12340
0.02278	15210	12320
0.02284	15220	12300
0.02291	15230	12280
0.02298	15250	12260
0.02307	15270	12230
0.02316	15280	12200
0.02324	15300	12170
0.0233	15310	12150
0.02336	15320	12140
0.02341	15330	12120
0.02345	15340	12110
0.0235	15350	12090
0.02354	15360	12080
0.02358	15360	12070
0.02362	15370	12060
0.02366	15380	12050
0.0237	15390	12040
0.02374	15390	12030
0.02378	15400	12020
0.02381	15410	12010
0.02385	15410	12000
0.02388	15420	11990
0.02392	15420	11980
